AOU,four-letter code,common_name,Band_Size
4391,VCHU,VIOLET-CROWNED HUMMINGBIRD,"X, (t)"
4401,WEHU,WHITE-EARED HUMMINGBIRD,"X, (t)"
4402,PREM,PUERTO RICAN EMERALD,"X, (t)"
4408,HYHU,HYBRID HUMMINGBIRD,"X, (t)"
4409,UNHU,UNIDENTIFIED HUMMINGBIRD,"X, (t)"
4410,BBLH,BROAD-BILLED HUMMINGBIRD,"X, (t)"
4411,RTBE,ROSE-THROATED BECARD,1B 1
4420,FTFL,FORK-TAILED FLYCATCHER,1B 1
4430,STFL,SCISSOR-TAILED FLYCATCHER,1A
4440,EAKI,EASTERN KINGBIRD,1B
4450,GRAK,GRAY KINGBIRD,1A
4451,TBKI,THICK-BILLED KINGBIRD,1A
4452,LOKI,LOGGERHEAD KINGBIRD,1B 1A
4460,TRKI,TROPICAL KINGBIRD,1A
4461,COKI,COUCHS KINGBIRD,1B 1A
4470,WEKI,WESTERN KINGBIRD,1A
4480,CAKI,CASSINS KINGBIRD,1A
4490,GKIS,GREAT KISKADEE,2
4510,SBFL,SULPHUR-BELLIED FLYCATCHER,1B
4520,GCFL,GREAT-CRESTED FLYCATCHER,1A 1B
4530,BCFL,BROWN-CRESTED FLYCATCHER,1A
4531,NUFL,NUTTINGS FLYCATCHER,1B
4540,ATFL,ASH-THROATED FLYCATCHER,1B 1
4550,DCFL,DUSKY-CAPPED FLYCATCHER,1B 1
4551,LSFL,LA SAGRAS FLYCATCHER,1B
4552,PRFL,PUERTO RICAN FLYCATCHER,1B 1A
4553,STOF,STOLID FLYCATCHER,1B
4554,LESF,LESSER ANTILLEAN FLYCATCHER,1B
4560,EAPH,EASTERN PHOEBE,0 1
4570,SAPH,SAYS PHOEBE,1
4580,BLPH,BLACK PHOEBE,1
4590,OSFL,OLIVE-SIDED FLYCATCHER,1 1B
4600,GRPE,GREATER PEWEE,1B
4610,EAWP,EASTERN WOOD-PEWEE,0 0A 1
4620,WEWP,WESTERN WOOD-PEWEE,0 1
4621,CUPE,CUBAN ANTILLEAN PEWEE,0 1
4622,LAPE,LESSER ANTILLEAN PEWEE,0 1
4623,JAPE,JAMAICAN PEWEE,0 1
4624,HIPE,HISPANIOLAN PEWEE,0 1
4630,YBFL,YELLOW-BELLIED FLYCATCHER,0 0A
4640,COFL,CORDILLERAN FLYCATCHER,0 0A
4641,PSFL,PACIFIC SLOPE FLYCATCHER,0 0A
4649,WEFL,WESTERN FLYCATCHER,0 0A
4650,ACFL,ACADIAN FLYCATCHER,0 0A
4660,WIFL,WILLOW FLYCATCHER,0 0A
4661,ALFL,ALDER FLYCATCHER,0 0A
4664,SWFL,SOUTHWESTERN WILLOW FLYCATCHER,0 0A
4669,TRFL,TRAILLS FLYCATCHER,0 0A
4670,LEFL,LEAST FLYCATCHER,0 0A
4679,UNEM,UNIDENTIFIED EMPIDONAX,0 0A
4680,HAFL,HAMMONDS FLYCATCHER,0 0A
4690,DUFL,DUSKY FLYCATCHER,0 0A
4691,GRFL,GRAY FLYCATCHER,0 0A
4700,BBFL,BUFF-BREASTED FLYCATCHER,0 0A
4710,VEFL,VERMILION FLYCATCHER,0 0A
4711,GREL,GREENISH ELAENIA,0A 0
4720,NBTY,NORTHERN BEARDLESS TYRANNULET,0A 0
4721,CAEL,CARIBBEAN ELAENIA,0 1
4730,SKLA,SKY LARK,1B
4740,HOLA,HORNED LARK,1B
4750,BBMA,BLACK-BILLED MAGPIE,3B 4 3
4760,YBMA,YELLOW-BILLED MAGPIE,3A
4770,BLJA,BLUE JAY,2 3
4780,STJA,STELLERS JAY,3 2
4790,FLSJ,FLORIDA SCRUB-JAY,3 2
4810,WESJ,WESTERN SCRUB JAY,2 3
4811,ISSJ,ISLAND SCRUB-JAY,3B 3
4820,MEJA,MEXICAN JAY,3A
4830,GREJ,GREEN JAY,2
4832,BRJA,BROWN JAY,4A 4 3
4840,GRAJ,GRAY JAY,3 2
4860,CORA,COMMON RAVEN,6 7A
4870,CHRA,CHIHUAHUAN RAVEN,5
4871,WNCR,WHITE-NECKED CROW,5 6
4880,AMCR,AMERICAN CROW,5
4890,NOCR,NORTHWESTERN CROW,4 4A
4891,TACR,TAMAULIPAS CROW,4
4892,HCRO,HAWAIIAN CROW,6
4900,FICR,FISH CROW,4A
4910,CLNU,CLARKS NUTCRACKER,3B
4920,PIJA,PINYON JAY,3 2
4930,EUST,EUROPEAN STARLING,2 3
4931,CRMY,CRESTED MYNA,3 2
4932,COMY,COMMON MYNA,3
4933,WVMY,WHITE-VENTED MYNA,1A 2 1D
4934,HIMY,HILL MYNA,2
4935,JUMY,JUNGLE MYNA,2
4940,BOBO,BOBOLINK,"M 1A, F 1B"
4950,BHCO,BROWN-HEADED COWBIRD,"M 1A, F 1B"
4960,BROC,BRONZED COWBIRD,"M 2, F 1A 1D"
4961,SHCO,SHINY COWBIRD,2
4970,YHBL,YELLOW-HEADED BLACKBIRD,"M 2, F 1A 1D"
4980,RWBL,RED-WINGED BLACKBIRD,"M 2, F 1A 1D"
5000,TRBL,TRICOLORED BLACKBIRD,2
5001,TSBL,TAWNY-SHOULDERED BLACKBIRD,1B 1A
5002,YSBL,YELLOW-SHOULDERED BLACKBIRD,2
5010,EAME,EASTERN MEADOWLARK,"M 3, F 2 3"
5011,WEME,WESTERN MEADOWLARK,"M 3, F 2 3"
5030,AUOR,AUDUBONS ORIOLE,2
5031,ALOR,ALTAMIRA ORIOLE,3
5032,SPOO,SPOTTED-BREASTED ORIOLE,2
5040,SCOR,SCOTTS ORIOLE,1A
5041,BVOR,BLACK-VENTED ORIOLE,2
5042,BCOR,BLACK-COWLED ORIOLE,1A 2 1D
5050,HOOR,HOODED ORIOLE,1A 1B
5051,STRO,STREAK-BACKED ORIOLE,1A
5060,OROR,ORCHARD ORIOLE,1B
5070,BAOR,BALTIMORE ORIOLE,1A
5078,BBOH,BALTIMORE X BULLOCKS ORIOLE HYBRID,1A
5080,BUOR,BULLOCKS ORIOLE,1A
5090,RUBL,RUSTY BLACKBIRD,2
5100,BRBL,BREWERS BLACKBIRD,2
5110,COGR,COMMON GRACKLE,3 3B
5120,GTGR,GREAT-TAILED GRACKLE,"M 4, F 3"
5130,BTGR,BOAT-TAILED GRACKLE,"M 4, F 3"
5131,GAGR,GREATER ANTILLEAN GRACKLE,3
5140,EVGR,EVENING GROSBEAK,1A 2 1D
5141,BRAM,BRAMBLING,1B 1
5142,HAWF,HAWFINCH,1A 2 1D
5143,COCH,COMMON CHAFFINCH,1B 1
5150,PIGR,PINE GROSBEAK,1A
5160,EUBU,EURASIAN BULLFINCH,1B 1A
5161,CORO,COMMON ROSEFINCH,1B 1
5170,PUFI,PURPLE FINCH,1 1B
5180,CAFI,CASSINS FINCH,1B 1
5190,HOFI,HOUSE FINCH,1B 1
5210,RECR,RED CROSSBILL,1B
5220,WWCR,WHITE-WINGED CROSSBILL,1B
5240,GCRF,GRAY-CROWNED ROSY FINCH,1B
5250,BLRF,BLACK ROSY-FINCH,1B
5260,BCRF,BROWN-CAPPED ROSY FINCH,1B
5261,EUGO,EUROPEAN GOLDFINCH,0
5262,ORGR,ORIENTAL GREENFINCH,0 1
5270,HORE,HOARY REDPOLL,0 0A
5276,UNRE,UNKNOWN REDPOLL,0
5280,CORE,COMMON REDPOLL,0 0A
5290,AMGO,AMERICAN GOLDFINCH,0 0A 1
5300,LEGO,LESSER GOLDFINCH,0A 0
5310,LAGO,LAWRENCES GOLDFINCH,0
5321,RESI,RED SISKIN,0
5330,PISI,PINE SISKIN,0 0A
5331,COCA,COMMON CANARY,1
5332,YFCA,YELLOW-FRONTED CANARY,0
5340,SNBU,SNOW BUNTING,1A 1B
5350,MKBU,MC KAYS BUNTING,1B
5351,RUBU,RUSTIC BUNTING,1
5352,LIBU,LITTLE BUNTING,1
5353,GRBU,GRAY BUNTING,1B
5354,PALB,PALLASS BUNTING,1
5355,REBU,REED BUNTING,1
5360,LALO,LAPLAND LONGSPUR,1B
5370,SMLO,SMITHS LONGSPUR,1
5380,CCLO,CHESTNUT-COLLARED LONGSPUR,1
5390,MCLO,MC COWNS LONGSPUR,1
5400,VESP,VESPER SPARROW,1B 1
5410,IPSP,IPSWICH SPARROW,1B
5420,SAVS,SAVANNAH SPARROW,1
5430,BSSP,BELDINGS SAVANNAH SPARROW,1
5440,LBSP,LARGE-BILLED SPARROW,1
5450,BAIS,BAIRDS SPARROW,1
5460,GRSP,GRASSHOPPER SPARROW,1
5464,FGSP,FLORIDA GRASSHOPPER SPARROW,1
5470,HESP,HENSLOWS SPARROW,0 1
5480,LCSP,LE CONTES SPARROW,1
5490,SALS,SALTMARSH SPARROW,1 1B
5491,NESP,NELSONS SPARROW,1 1B
5499,STSP,SHARP-TAILED SPARROW,1 1B
5500,SESP,SEASIDE SPARROW,1B
5510,DSSP,DUSKY SEASIDE SPARROW,1B
5511,CSSS,CAPE SABLE SEASIDE SPARROW,1B
5520,LASP,LARK SPARROW,1B
5530,HASP,HARRISS SPARROW,1A
5540,WCSP,WHITE-CROWNED SPARROW,1B
5541,EWCS,EASTERN WHITE-CROWNED SPARROW,1B
5546,MWCS,MOUNTAIN WHITE-CROWNED SPARROW,1B
5547,PSWS,PUGET SOUND WHITE-CROWNED SPARROW,1B
5550,GWCS,GAMBELS WHITE-CROWNED SPARROW,1B
5560,NWCS,NUTTALLS WHITE-CROWNED SPARROW,1B
5570,GCSP,GOLDEN-CROWNED SPARROW,1B 1A
5580,WTSP,WHITE-THROATED SPARROW,1B
5581,RUFS,RUFOUS-COLLARED SPARROW,0
5586,ZSHY,ZONOTRICHIA SPARROW HYBRID,"1B, (v)"
5590,ATSP,AMERICAN TREE SPARROW,0 1
5600,CHSP,CHIPPING SPARROW,0 0A 1
5610,CCSP,CLAY-COLORED SPARROW,0
5620,BRSP,BREWERS SPARROW,0 0A 1
5630,FISP,FIELD SPARROW,0 0A 1
5640,WOSP,WORTHENS SPARROW,0
5650,BCSP,BLACK-CHINNED SPARROW,0 1
5660,WWJU,WHITE-WINGED JUNCO,1
5670,SCJU,SLATE-COLORED JUNCO,0 1
5671,ORJU,OREGON JUNCO,0 1
5677,UDEJ,UNIDENTIFIED DARK-EYED JUNCO,0 1
5690,GHJU,GRAY-HEADED JUNCO,0 1
5700,YEJU,YELLOW-EYED JUNCO,1
5730,BTSP,BLACK-THROATED SPARROW,1
5740,SAGS,SAGE SPARROW,1
5741,SSSP,SAN CLEMENTE SAGE SPARROW,1
5742,FSSP,FIVE-STRIPED SPARROW,1B
5750,BACS,BACHMANS SPARROW,1
5760,BOSP,BOTTERIS SPARROW,1
5780,CASP,CASSINS SPARROW,1
5790,RWSP,RUFOUS-WINGED SPARROW,0
5800,RCSP,RUFOUS-CROWNED SPARROW,1
5810,SOSP,SONG SPARROW,1B 1
5830,LISP,LINCOLNS SPARROW,0 1
5840,SWSP,SWAMP SPARROW,1
5850,FOSP,FOX SPARROW,1A 1B
5860,OLSP,OLIVE SPARROW,1 1B
5861,SAFI,SAFFRON FINCH,1
5870,EATO,EASTERN TOWHEE,"M 2 1D 1A, F 1A 1D 2"
5876,URST,UNKNOWN RUFOUS-SIDED TOWHEE,2 1A 1D
5880,SPTO,SPOTTED TOWHEE,1A 2 1D
5900,GTTO,GREEN-TAILED TOWHEE,1B 1A
5906,HYTO,HYBRID TOWHEE,"1A 1B, (g,v)"
5910,CANT,CANYON TOWHEE,2 1A 1D
5911,CALT,CALIFORNIA TOWHEE,2 1A 1D
5912,ICTO,INYO CALIFORNIA TOWHEE,1A 2 1D
5920,ABTO,ABERTS TOWHEE,1A 2 1D
5922,RCCA,RED-CRESTED CARDINAL,2
5923,YBCA,YELLOW-BILLED CARDINAL,1A 1B
5930,NOCA,NORTHERN CARDINAL,1A 2 1D
5940,PYRR,PYRRHULOXIA,1A
5950,RBGR,ROSE-BREASTED GROSBEAK,1A 2 1D
5960,BHGR,BLACK-HEADED GROSBEAK,1A
5961,YEGR,YELLOW GROSBEAK,2 1A 1D
5970,BLGR,BLUE GROSBEAK,1B
5971,BLBU,BLUE BUNTING,1B 1
5980,INBU,INDIGO BUNTING,1
5986,ILBH,INDIGO X LAZULI BUNTING HYBRID,1
5990,LAZB,LAZULI BUNTING,1
6000,VABU,VARIED BUNTING,1
6010,PABU,PAINTED BUNTING,1
6020,WCSE,WHITE-COLLARED SEEDEATER,0
6021,PUEB,PUERTO RICAN BULLFINCH,1B 1
6022,LESB,LESSER ANTILLEAN BULLFINCH,1B 1
6030,BFGR,BLACK-FACED GRASSQUIT,0A
6031,CUGR,CUBAN GRASSQUIT,0
6032,YFGR,YELLOW-FACED GRASSQUIT,0 1
6040,DICK,DICKCISSEL,1B
6050,LARB,LARK BUNTING,1A
6061,ANEU,ANTILLEAN EUPHONIA,0 1
6070,WETA,WESTERN TANAGER,1B
6071,FCTA,FLAME-COLORED TANAGER,1B 1A
6080,SCTA,SCARLET TANAGER,1B
6090,HETA,HEPATIC TANAGER,1A
6100,SUTA,SUMMER TANAGER,1A 1B
6101,WESP,WESTERN SPINDALIS,1B 1A
6102,PRTA,PUERTO RICAN TANAGER,1B
6110,PUMA,PURPLE MARTIN,1A 2 1D
6112,GBMA,GRAY-BREASTED MARTIN,1A
6113,CAMA,CARIBBEAN MARTIN,1A
6120,CLSW,CLIFF SWALLOW,"1, (l)"
6121,CASW,CAVE SWALLOW,"1, (l)"
6130,BARS,BARN SWALLOW,"0 1, (l)"
6140,TRES,TREE SWALLOW,"1, (l)"
6150,VGSW,VIOLET-GREEN SWALLOW,1
6151,BAHS,BAHAMA SWALLOW,1
6160,BANS,BANK SWALLOW,0
6170,NRWS,NORTHERN ROUGH-WINGED SWALLOW,0
6180,BOWA,BOHEMIAN WAXWING,1A
6190,CEDW,CEDAR WAXWING,1B
6200,PHAI,PHAINOPEPLA,1B
6210,NSHR,NORTHERN SHRIKE,2
6211,BRSH,BROWN SHRIKE,2 1A 1D
6220,LOSH,LOGGERHEAD SHRIKE,1D 1A
6221,KAOO,KAUAI OO,2
6223,BIOO,BISHOPS OO,3
6226,JAWE,JAPANESE WHITE-EYE,0A 0
6227,SLSH,SAN CLEMENTE LOGGERHEAD SHRIKE,1A
6230,BWVI,BLACK-WHISKERED VIREO,1
6240,REVI,RED-EYED VIREO,1 0
6250,YGVI,YELLOW-GREEN VIREO,1
6260,PHVI,PHILADELPHIA VIREO,0 0A
6270,WAVI,WARBLING VIREO,0 1
6280,YTVI,YELLOW-THROATED VIREO,1
6290,BHVI,BLUE-HEADED VIREO,1
6291,PLVI,PLUMBEOUS VIREO,1
6292,CAVI,CASSINS VIREO,1
6299,SOVI,SOLITARY VIREO,1
6300,BCVI,BLACK-CAPPED VIREO,0 1
6310,WEVI,WHITE-EYED VIREO,0 0A
6320,HUVI,HUTTONS VIREO,0
6330,BEVI,BELLS VIREO,0
6331,PRVI,PUERTO RICAN VIREO,1
6334,LBVI,LEAST BELLS VIREO,0
6340,GRVI,GRAY VIREO,1
6350,BANA,BANANAQUIT,0
6360,BAWW,BLACK-AND-WHITE WARBLER,0 0A 1
6366,HYWA,HYBRID WARBLER,"0 1, (v)"
6370,PROW,PROTHONOTARY WARBLER,0
6380,SWWA,SWAINSONS WARBLER,1
6390,WEWA,WORM-EATING WARBLER,0 1
6410,BWWA,BLUE-WINGED WARBLER,0A 0
6412,BRWA,BREWSTERS WARBLER,0A 0
6413,LAWA,LAWRENCES WARBLER,0A 0
6420,GWWA,GOLDEN-WINGED WARBLER,0A 0
6430,LUWA,LUCYS WARBLER,0A
6440,VIWA,VIRGINIAS WARBLER,0A
6450,NAWA,NASHVILLE WARBLER,0A 0
6460,OCWA,ORANGE-CROWNED WARBLER,0 0A
6470,TEWA,TENNESSEE WARBLER,0A 0
6471,COLW,COLIMA WARBLER,1
6480,NOPA,NORTHERN PARULA,0A 0
6490,TRPA,TROPICAL PARULA,0A
6500,CMWA,CAPE MAY WARBLER,0 0A 1
6510,OLWA,OLIVE WARBLER,0
6520,YEWA,YELLOW WARBLER,0 0A 1
6540,BTBW,BLACK-THROATED BLUE WARBLER,0 0A
6550,MYWA,MYRTLE WARBLER,0 0A 1
6556,UYRW,UNKNOWN YELLOW-RUMPED WARBLER,0 0A 1
6560,AUWA,AUDUBONS WARBLER,0 0A 1
6570,MAWA,MAGNOLIA WARBLER,0A 0
6580,CERW,CERULEAN WARBLER,0A 0
6581,EWWA,ELFIN-WOODS WARBLER,0A
6590,CSWA,CHESTNUT-SIDED WARBLER,0A 0
6600,BBWA,BAY-BREASTED WARBLER,0 0A 1
6610,BLPW,BLACKPOLL WARBLER,0 0A 1
6620,BLBW,BLACKBURNIAN WARBLER,0 0A
6630,YTWA,YELLOW-THROATED WARBLER,0A 0
6634,SUWA,SUTTONS WARBLER,0A
6640,GRWA,GRACES WARBLER,0A
6641,ADWA,ADELAIDES WARBLER,0A
6650,BTYW,BLACK-THROATED GRAY WARBLER,0A 0
6660,GCWA,GOLDEN-CHEEKED WARBLER,0A
6670,BTNW,BLACK-THROATED GREEN WARBLER,0A 0
6680,TOWA,TOWNSENDS WARBLER,0A 0
6686,THWH,TOWNSENDS X HERMIT WARBLER HYBRID,0A 0
6690,HEWA,HERMIT WARBLER,0A
6700,KIWA,KIRTLANDS WARBLER,1
6710,PIWA,PINE WARBLER,0 0A
6720,WPWA,WESTERN PALM WARBLER,0 0A
6729,YPWA,YELLOW PALM WARBLER,0 0A
6730,PRAW,PRAIRIE WARBLER,0A 0
6740,OVEN,OVENBIRD,1 0
6750,NOWA,NORTHERN WATERTHRUSH,0 1
6760,LOWA,LOUISIANA WATERTHRUSH,1
6770,KEWA,KENTUCKY WARBLER,1
6780,CONW,CONNECTICUT WARBLER,1
6790,MOWA,MOURNING WARBLER,0 1
6800,MGWA,MACGILLIVRAYS WARBLER,1 0
6810,COYE,COMMON YELLOWTHROAT,0 0A 1
6821,GCYE,GRAY-CROWNED YELLOWTHROAT,1
6830,YBCH,YELLOW-BREASTED CHAT,"1B 1A 1D, (w)"
6840,HOWA,HOODED WARBLER,0 1
6850,WIWA,WILSONS WARBLER,0A 0
6860,CAWA,CANADA WARBLER,0 0A
6870,AMRE,AMERICAN REDSTART,0A 0
6880,PARE,PAINTED REDSTART,0A
6881,FTWA,FAN-TAILED WARBLER,1B 1
6882,HOSP,HOUSE SPARROW,1B
6883,ETSP,EUROPEAN TREE SPARROW,1 1B
6890,SLAR,SLATE-THROATED REDSTART,0A
6900,RFWA,RED-FACED WARBLER,0A
6920,GOLW,GOLDEN-CROWNED WARBLER,0 1
6921,RCWA,RUFOUS-CAPPED WARBLER,1
6940,WHWA,WHITE WAGTAIL,1
6951,BWAG,BLACK-BACKED WAGTAIL,1
6960,EYWA,EASTERN YELLOW WAGTAIL,1
6961,GRAW,GRAY WAGTAIL,1
6970,AMPI,AMERICAN PIPIT,1
6981,PEPI,PECHORA PIPIT,1
6983,OBPI,OLIVE-BACKED PIPIT,1
6990,RTPI,RED-THROATED PIPIT,1
7000,SPPI,SPRAGUES PIPIT,1
7010,AMDI,AMERICAN DIPPER,2 1A 1D
7020,SATH,SAGE THRASHER,1B 1A
7030,NOMO,NORTHERN MOCKINGBIRD,2 1A 1D
7031,BAMO,BAHAMA MOCKINGBIRD,1A 2 1D
7032,TRMO,TROPICAL MOCKINGBIRD,2 1A 1D
7040,GRCA,GRAY CATBIRD,1A
7050,BRTH,BROWN THRASHER,2 3
7060,LBTH,LONG-BILLED THRASHER,2
7070,CBTH,CURVE-BILLED THRASHER,3
7080,BETH,BENDIRES THRASHER,2
7100,CATH,CALIFORNIA THRASHER,3
7110,LCTH,LE CONTES THRASHER,2
7111,PETH,PEARLY-EYED THRASHER,2
7120,CRTH,CRISSAL THRASHER,2
7130,CACW,CACTUS WREN,1B 1A
7150,ROWR,ROCK WREN,1 0
7170,CANW,CANYON WREN,1
7180,CARW,CAROLINA WREN,1B
7190,BEWR,BEWICKS WREN,1
7210,HOWR,HOUSE WREN,0 0A 1
7220,WIWR,WINTER WREN,0A 0
7221,PAWR,PACIFIC WREN,0A 0
7240,SEWR,SEDGE WREN,0A 0
7250,MAWR,MARSH WREN,1
7260,BRCR,BROWN CREEPER,0A 0
7261,RWBU,RED-WHISKERED BULBUL,1B 1A
7262,RVBU,RED-VENTED BULBUL,2 1A 1D
7270,WBNU,WHITE-BREASTED NUTHATCH,1B 1
7280,RBNU,RED-BREASTED NUTHATCH,0 1
7290,BHNU,BROWN-HEADED NUTHATCH,0
7300,PYNU,PYGMY NUTHATCH,0
7310,TUTI,TUFTED TITMOUSE,1B
7320,BCTI,BLACK-CRESTED TITMOUSE,1B
7330,OATI,OAK TITMOUSE,1
7331,JUTI,JUNIPER TITMOUSE,1
7339,PLTI,PLAIN TITMOUSE,1
7340,BRTI,BRIDLED TITMOUSE,1
7341,VATI,VARIED TIT,1B 1
7350,BCCH,BLACK-CAPPED CHICKADEE,0 1
7356,HYCH,HYBRID CHICKADEE,"0 1, (v)"
7360,CACH,CAROLINA CHICKADEE,0 0A 1
7370,MECH,MEXICAN CHICKADEE,0
7380,MOCH,MOUNTAIN CHICKADEE,0 0A
7390,GHCH,GRAY-HEADED CHICKADEE,0 1
7400,BOCH,BOREAL CHICKADEE,0 0A
7410,CBCH,CHESTNUT-BACKED CHICKADEE,0
7420,WREN,WRENTIT,1
7421,RBLE,RED-BILLED LEIOTHRIX,1B
7422,HWAM,HWAMEI,2
7423,GNLA,GREATER NECKLACED LAUGHINGTHRUSH,2
7424,OBNT,ORANGE-BILLED NIGHTINGALE-THRUSH,1B
7430,BUSH,BUSHTIT,0A
7460,VERD,VERDIN,0A
7461,JABW,JAPANESE BUSH-WARBLER,"M 1, F 0"
7462,MILL,MILLERBIRD,0A
7470,ARWA,ARCTIC WARBLER,0A
7471,MIGW,MIDDENDORFFS GRASSHOPPER-WARBLER,0A
7473,WOWA,WOOD WARBLER,0A
7474,DUWA,DUSKY WARBLER,0A
7475,LANW,LANCEOLATE WARBLER,0A
7480,GCKI,GOLDEN-CROWNED KINGLET,0A
7490,RCKI,RUBY-CROWNED KINGLET,0A
7491,SIAC,SIBERIAN ACCENTOR,0A
7510,BGGN,BLUE-GRAY GNATCATCHER,0A
7520,BTGN,BLACK-TAILED GNATCATCHER,0A
7530,CAGN,CALIFORNIA GNATCATCHER,0A
7531,BCGN,BLACK-CAPPED GNATCATCHER,0A
7532,BACG,BAJA GNATCATCHER,0A
7540,TOSO,TOWNSENDS SOLITAIRE,1B
7541,OMAO,OMAO,1A
7542,PUAI,PUAIOHI,1A
7543,KAMA,KAMAO,1A
7545,OLOM,OLOMAO,1A
7550,WOTH,WOOD THRUSH,1A
7560,VEER,VEERY,1B
7570,GCTH,GRAY-CHEEKED THRUSH,1B
7571,BITH,BICKNELLS THRUSH,1B
7579,GCBT,UNSPECIFIED BICKNELLS OR GRAY-CHEEKED THRUSH,1B
7580,SWTH,SWAINSONS THRUSH,1B
7590,HETH,HERMIT THRUSH,1B 1
7600,REDW,REDWING,2 1A 1D
7610,AMRO,AMERICAN ROBIN,2
7612,FIEL,FIELDFARE,2
7613,EYTH,EYEBROWED THRUSH,2
7614,DUTH,DUSKY THRUSH,2
7621,CCTH,CLAY-COLORED THRUSH,2
7622,RBRO,RUFOUS-BACKED ROBIN,2
7623,RLTH,RED-LEGGED THRUSH,2
7630,VATH,VARIED THRUSH,2
7631,AZTH,AZTEC THRUSH,2
7640,BLUE,BLUETHROAT,1
7641,SIRU,SIBERIAN RUBYTHROAT,1B 1
7642,RFBL,RED-FLANKED BLUETAIL,0
7650,NOWH,NORTHERN WHEATEAR,1B
7660,EABL,EASTERN BLUEBIRD,1B 1
7670,WEBL,WESTERN BLUEBIRD,1B
7676,HYBL,HYBRID BLUEBIRD,"1B 1A, (v)"
7680,MOBL,MOUNTAIN BLUEBIRD,1B 1A
7690,WRSH,WHITE-RUMPED SHAMA,2 1A 1D
7700,HAEL,HAWAII ELEPAIO,0 1
7701,OAEL,OAHU ELEPAIO,1A
7702,KAEL,KAUAI ELEPAIO,0 1
7710,TAFL,TAIGA FLYCATCHER,0
7720,DSFL,DARK-SIDED FLYCATCHER,0
7730,GSFL,GRAY-STREAKED FLYCATCHER,0 1
7740,LAFI,LAYSAN FINCH,1A
7750,NIFI,NIHOA FINCH,1B 1A
7760,OU,OU,2
7770,PALI,PALILA,2
7810,MAPA,MAUI PARROTBILL,1B 1A
7820,HAAM,HAWAII AMAKIHI,1 1B
7821,OAAM,OAHU AMAKIHI,1 1B 1A
7830,KAAM,KAUAI AMAKIHI,1 1B 1A
7840,ANIA,ANIANIAU,0 1
7870,KAAK,KAUAI AKIALOA,1
7880,NUKU,NUKUPUU,1
7890,AKIP,AKIAPOLAAU,1A
7900,AKIK,AKIKIKI,0 1
7910,HCRE,HAWAII CREEPER,0 1
7920,MAAL,MAUI ALAUAHIO,1
7930,KAKA,KAKAWAHIE,0 1
7940,OAAL,OAHU ALAUAHIO,0 1
7950,AKEP,AKEPA,0
7960,AKEK,AKEKEE,1B 1
7980,IIWI,IIWI,1B
8010,AKOH,AKOHEKOHE,1A
8020,APAP,APAPANE,1
8040,POUL,POO-ULI,1B
8041,REBI,RED BISHOP,0A
8042,YCBI,YELLOW-CROWNED BISHOP,0A
8050,RCCO,RED-CHEEKED CORDONBLEU,1
8060,LAVW,LAVENDER WAXBILL,0 1
8070,ORAW,ORANGE-CHEEKED WAXBILL,0 1
8080,BRWX,BLACK-RUMPED WAXBILL,0 1
8081,COMW,COMMON WAXBILL,0A 0
8090,REAV,RED AVADAVAT,0 1
8100,AFSI,AFRICAN SILVERBILL,0 1
8101,BRMA,BRONZE MANNIKIN,0A
8110,NUMA,NUTMEG MANNIKIN,0A 0
8120,TRMU,TRICOLORED MUNIA,0 1
8130,JASP,JAVA SPARROW,1A 1B
8131,PTWH,PIN-TAILED WHYDAH,1B 1A
8501,KIPE,KING PENGUIN,9
8502,EMPE,EMPEROR PENGUIN,9
8503,GEPE,GENTOO PENGUIN,9
8504,ADPE,ADELIE PENGUIN,9
8505,CHPE,CHINSTRAP PENGUIN,9
8506,VIPE,VICTORIA PENGUIN,9
8508,ROCP,ROCKHOPPER PENGUIN,9
8509,ROYP,ROYAL PENGUIN,9
8510,MACP,MACARONI PENGUIN,9
8512,FAPE,FAIRY PENGUIN,9
8514,AFPE,AFRICAN PENGUIN,9
8515,HUPE,HUMBOLDT PENGUIN,9
8516,MAGP,MAGELLANIC PENGUIN,9
8517,GALP,GALAPOGOS PENGUIN,9
8519,ROAL,ROYAL ALBATROSS,8
8521,BUAL,BULLERS ALBATROSS,8
8522,GHAL,GRAY-HEADED ALBATROSS,8
8523,SOAL,SOOTY ALBATROSS,8
8524,LMSA,LIGHT-MANTLED SOOTY ALBATROSS,8
8525,SGPE,SOUTHERN GIANT PETREL,8
8526,SOFU,SOUTHERN FULMAR,5
8527,BLPE,BLUE PETREL,3
8528,BBPR,BROAD-BILLED PRION,3
8529,DOPR,DOVE PRION,3
8530,TBPR,THIN-BILLED PRION,3
8531,FAPR,FAIRY PRION,3
8532,ANPE,ANTARCTIC PETREL,5
8533,WCPE,WHITE-CHINNED PETREL,5
8536,KEPE,KERGUELEN PETREL,4
8537,SNPE,SNOW PETREL,4
8538,GBSP,GRAY-BACKED STORM-PETREL,1A
8541,BECO,BLUE-EYED CORMORANT,8
8543,SNSH,SNOWY SHEATHBILL,7A
8544,LESH,LESSER SHEATHBILL,7A
8546,SBBG,SOUTHERN BLACK-BACKED GULL,7B
8548,ANTE,ANTARCTIC TERN,3
8549,KETE,KERGUELEN TERN,3
8552,HYSK,HYBRID SKUA,"7A 7B, (v)"
8553,NGPE,NORTHERN GIANT PETREL,8
8554,BRSK,BROWN SKUA,7A 7B
