     GEOID YEAR    diet abundance density_high  func.group
1835 39165 2004 insects        42 0.2020861470 insectivore
1838 39165 2005 insects        90 0.4614840250 insectivore
1841 39165 2006 insects        75 0.2683684098 insectivore
1845 39165 2007 insects        54 0.6585865432 insectivore
1846 39165 2008 insects        48 0.7440557768 insectivore
1851 39165 2009 insects        67 0.5432155370 insectivore
1854 39167 1997 insects         8 0.0264252214 insectivore
1855 39167 1999 insects         2 0.0218364105 insectivore
1857 39167 2000 insects         6 0.0283240397 insectivore
1859 39167 2001 insects         6 0.0143993721 insectivore
1860 39167 2002 insects        69 0.0253175774 insectivore
1863 39167 2003 insects        67 0.0120258492 insectivore
1865 39167 2004 insects        68 0.2542834176 insectivore
1867 39167 2005 insects        64 0.2492199021 insectivore
1869 39167 2006 insects        56 0.2128258847 insectivore
1872 39167 2007 insects        35 0.1674124803 insectivore
1873 39167 2008 insects        54 0.0954156197 insectivore
1876 39167 2009 insects        53 0.1161443861 insectivore
1880 39169 1997 insects        40 0.3996907713 insectivore
1884 39169 1998 insects        24 1.2853896625 insectivore
1885 39169 1999 insects        28 0.7696480090 insectivore
1890 39169 2000 insects        53 0.6294498936 insectivore
1896 39169 2001 insects        70 0.3449089884 insectivore
1897 39169 2002 insects        80 0.5099751500 insectivore
1902 39169 2003 insects        61 0.0585660508 insectivore
1906 39169 2004 insects        33 1.2259225955 insectivore
1908 39169 2005 insects        39 0.3843734964 insectivore
1913 39169 2006 insects        36 0.7826226418 insectivore
1915 39169 2007 insects        33 0.5335817735 insectivore
1920 39169 2008 insects        67 0.8696608035 insectivore
1922 39169 2009 insects        31 1.4131537548 insectivore
1927 39171 1997 insects       243 0.0004750989 insectivore
1930 39171 1999 insects       376 0.0007126483 insectivore
1932 39171 2000 insects       102 0.0007126483 insectivore
1935 39171 2001 insects       103 0.0019003955 insectivore
1940 39171 2002 insects        63 0.0004750989 insectivore
1944 39171 2003 insects        91 0.0019003955 insectivore
1948 39171 2004 insects        94 0.3285308755 insectivore
1949 39171 2005 insects        65 0.5349613388 insectivore
1954 39171 2006 insects       158 1.1200456095 insectivore
1957 39171 2007 insects       130 1.1820460133 insectivore
1961 39171 2008 insects       108 1.4977492191 insectivore
1967 39171 2009 insects       138 2.4762153623 insectivore
1971 39173 1997 insects        38 0.0003240414 insectivore
1974 39173 1999 insects        60 0.0021062694 insectivore
1977 39173 2000 insects       155 0.0008101036 insectivore
1984 39173 2001 insects        39 0.0072909325 insectivore
1985 39173 2002 insects        43 0.0001620207 insectivore
1989 39173 2003 insects       367 0.0027543523 insectivore
1994 39173 2004 insects       471 0.4176894225 insectivore
1997 39173 2005 insects       561 0.6650950657 insectivore
2002 39173 2006 insects        59 1.3478503901 insectivore
2005 39173 2007 insects        61 1.3110716861 insectivore
2009 39173 2008 insects        69 1.7921112110 insectivore
2013 39173 2009 insects        46 3.0234687016 insectivore
